masses,Portal_Coupling,sigma_SI_n,sigma_halo_cm3,BR
59.39393939393939,0.0008766953007642308,4.796270451029187e-21,1.058020054528157e-26,0.9997127693616996
59.64646464646465,0.0007846259098780738,3.8098134806701185e-21,1.0021919144186683e-26,0.99977893413491
59.898989898989896,0.0007031471186034192,3.034296619027781e-21,9.586464401124691e-27,0.999830038280583
60.151515151515156,0.000629201598823581,2.4096137726159758e-21,9.383275795133132e-27,0.999870285473973
60.4040404040404,0.0005630440514418163,1.9136810820080165e-21,9.31296934766215e-27,0.999901527034524
60.65656565656566,0.0005037590142391679,1.5193653143129488e-21,9.571419223376097e-27,0.9999257653675179
60.90909090909091,0.000449831097097281,1.2016052803601435e-21,1.0060416052192062e-26,0.999944730222877
61.161616161616166,0.00040125958889756076,9.483628574343186e-22,1.1136005838462496e-26,0.9999593961914286
61.41414141414141,0.0003561871319672585,7.412339683015908e-22,1.2894039623960077e-26,0.9999709196885826
61.66666666666667,0.0003156964759778185,5.776007520620923e-22,1.6476583268437388e-26,0.999979712452725
61.91919191919192,0.00027889036617988265,4.471557898225451e-22,2.4157355001571305e-26,0.9999864638605771
62.17171717171718,0.0002474002776339395,3.4906778355891414e-22,4.84489141423076e-26,0.9999915428647835
62.42424242424242,0.00023225355316188164,3.0518670676205664e-22,2.536285739691005e-25,0.999995220527408
62.67676767676768,0.004312227495141973,1.0437331556530016e-19,4.626125175798366e-22,1.0
62.92929292929293,0.009020479652722674,4.531107560004136e-19,1.1019005153258272e-22,1.0
63.18181818181819,0.012686570808192911,8.892136921335614e-19,7.057588990112247e-23,1.0
63.43434343434343,0.015992127316182225,1.4018970807771888e-18,5.466952605452332e-23,1.0
63.68686868686869,0.01908932056953769,1.981910191962977e-18,4.6041355411805344e-23,1.0
63.93939393939394,0.022039079088244283,2.621214440637156e-18,4.091759269604626e-23,1.0
64.1919191919192,0.024874198286279833,3.313138906401014e-18,3.738366038725207e-23,1.0
64.44444444444444,0.02761194169693644,4.051111608669909e-18,3.4788267892902173e-23,1.0
64.6969696969697,0.030265445498229127,4.829767931461261e-18,3.248914339177067e-23,1.0
64.94949494949495,0.03283532688814662,5.6413036359582195e-18,3.091140416384911e-23,1.0
65.20202020202021,0.035336383193634906,6.483632688125213e-18,2.935067982754706e-23,1.0
65.45454545454545,0.03776235851939752,7.348226243413767e-18,2.8022629639700926e-23,1.0
65.70707070707071,0.04011569784660883,8.22992070174886e-18,2.713491995441214e-23,1.0
65.95959595959596,0.04240497679350524,9.1267410393803e-18,2.6123068852578773e-23,1.0
66.21212121212122,0.044630686421499526,1.0034060100809255e-17,2.5480095483968455e-23,1.0
66.46464646464646,0.04678280304427309,1.0942632762194558e-17,2.4661881213306972e-23,1.0
66.71717171717172,0.04887586408271193,1.1854690331558113e-17,2.3927057580025682e-23,1.0
66.96969696969697,0.050901781645472814,1.2762370734276351e-17,2.3489489370408726e-23,1.0
67.22222222222223,0.05285638590307277,1.3659550277942822e-17,2.285692294304381e-23,1.0
67.47474747474747,0.05475241583153431,1.4549097323440175e-17,2.2275109803802797e-23,1.0
67.72727272727273,0.0565706169680048,1.5417400197881474e-17,2.1948908478454802e-23,1.0
67.97979797979798,0.05832666812528627,1.626953864474071e-17,2.1433560151584773e-23,1.0
68.23232323232324,0.0600082822205444,1.7095686225413594e-17,2.0946063444335216e-23,1.0
68.48484848484848,0.06161736835740998,1.7893910608363187e-17,2.070120306644812e-23,1.0
68.73737373737374,0.06315673599684501,1.8663136885947356e-17,2.0259569343007038e-23,1.0
68.98989898989899,0.06462400617561631,1.939951026191137e-17,2.0052909600619214e-23,1.0
69.24242424242425,0.06602003577457174,2.0101273547542178e-17,1.9646016545829194e-23,1.0
